date,Apple,Tesla,Google,Amazon,isPartial
2015-07-05,7,1,89,16,False
2015-07-12,7,1,89,20,False
2015-07-19,7,1,90,17,False
2015-07-26,7,1,90,17,False
2015-08-02,7,1,91,17,False
2015-08-09,7,1,91,18,False
2015-08-16,7,1,94,17,False
2015-08-23,7,1,92,17,False
2015-08-30,7,1,100,17,False
2015-09-06,12,1,96,16,False
2015-09-13,9,1,96,16,False
2015-09-20,9,1,97,17,False
2015-09-27,9,1,97,17,False
2015-10-04,8,1,95,17,False
2015-10-11,8,1,94,18,False
2015-10-18,8,1,95,18,False
2015-10-25,8,1,95,19,False
2015-11-01,7,1,95,19,False
2015-11-08,7,1,96,19,False
2015-11-15,7,1,96,20,False
2015-11-22,8,1,90,26,False
2015-11-29,7,1,91,26,False
2015-12-06,7,1,94,25,False
2015-12-13,7,1,92,25,False
2015-12-20,9,1,87,23,False
2015-12-27,8,1,85,21,False
2016-01-03,7,1,84,17,False
2016-01-10,6,1,84,15,False
2016-01-17,6,1,84,16,False
2016-01-24,6,1,83,15,False
2016-01-31,6,1,84,15,False
2016-02-07,6,1,83,15,False
2016-02-14,6,1,82,15,False
2016-02-21,6,1,84,14,False
2016-02-28,6,1,83,14,False
2016-03-06,6,1,83,14,False
2016-03-13,6,1,81,14,False
2016-03-20,9,1,82,14,False
2016-03-27,7,3,80,14,False
2016-04-03,6,2,80,14,False
2016-04-10,6,1,79,14,False
2016-04-17,6,1,79,14,False
2016-04-24,6,1,80,14,False
2016-05-01,6,1,81,14,False
2016-05-08,6,1,78,14,False
2016-05-15,6,1,79,14,False
2016-05-22,6,1,77,14,False
2016-05-29,6,1,75,15,False
2016-06-05,6,1,76,14,False
2016-06-12,6,1,74,14,False
2016-06-19,6,1,73,15,False
2016-06-26,6,1,71,15,False
2016-07-03,6,1,74,15,False
2016-07-10,6,1,73,17,False
2016-07-17,6,1,73,15,False
2016-07-24,6,1,71,16,False
2016-07-31,6,1,72,16,False
2016-08-07,6,1,73,15,False
2016-08-14,6,1,74,15,False
2016-08-21,6,1,75,15,False
2016-08-28,7,1,76,16,False
2016-09-04,13,1,76,16,False
2016-09-11,10,1,77,16,False
2016-09-18,9,1,79,16,False
2016-09-25,9,1,79,16,False
2016-10-02,8,1,79,17,False
2016-10-09,8,1,77,16,False
2016-10-16,8,1,79,17,False
2016-10-23,9,1,79,17,False
2016-10-30,8,1,77,16,False
2016-11-06,7,1,76,17,False
2016-11-13,7,1,79,19,False
2016-11-20,9,1,73,25,False
2016-11-27,8,1,77,23,False
